fecha,cod_local,sku,nombre_producto,clase,unidades,venta_neta,costo
2026-02-01,T007,SKU002,Jeans Slim Fit,Jeans,4,193768,96000
2026-02-01,T007,SKU003,Zapatilla Trail Runner,Calzado,4,363664,168000
2026-02-01,T007,SKU005,Short Deportivo,Shorts,2,41026,19000
2026-02-01,T007,SKU006,Polera Térmica,Poleras,4,140780,68000
2026-02-02,T007,SKU003,Zapatilla Trail Runner,Calzado,2,188296,84000
2026-02-02,T007,SKU004,Parka Impermeable,Parkas,3,389145,186000
2026-02-02,T007,SKU005,Short Deportivo,Shorts,1,20198,9500
2026-02-02,T007,SKU006,Polera Térmica,Poleras,1,36442,17000
2026-02-03,T007,SKU004,Parka Impermeable,Parkas,2,259908,124000
2026-02-03,T007,SKU005,Short Deportivo,Shorts,1,20952,9500
2026-02-03,T007,SKU006,Polera Térmica,Poleras,2,72356,34000
2026-02-04,T007,SKU003,Zapatilla Trail Runner,Calzado,1,87837,42000
2026-02-04,T007,SKU005,Short Deportivo,Shorts,2,39650,19000
2026-02-04,T007,SKU006,Polera Térmica,Poleras,1,34394,17000
2026-02-05,T007,SKU004,Parka Impermeable,Parkas,3,408162,186000
2026-02-05,T007,SKU005,Short Deportivo,Shorts,2,39942,19000
2026-02-05,T007,SKU006,Polera Térmica,Poleras,1,36022,17000
2026-02-05,T007,SKU007,Mochila Urbana 25L,Accesorios,3,134811,54000
2026-02-06,T007,SKU003,Zapatilla Trail Runner,Calzado,2,186218,84000
2026-02-06,T007,SKU005,Short Deportivo,Shorts,3,61554,28500
2026-02-06,T007,SKU006,Polera Térmica,Poleras,3,108564,51000
2026-02-06,T007,SKU007,Mochila Urbana 25L,Accesorios,3,128343,54000
2026-02-07,T007,SKU005,Short Deportivo,Shorts,4,79860,38000
2026-02-07,T007,SKU006,Polera Térmica,Poleras,2,70340,34000
2026-02-07,T007,SKU007,Mochila Urbana 25L,Accesorios,4,175904,72000
2026-02-08,T007,SKU001,Polera Manga Corta,Poleras,4,122044,58000
2026-02-08,T007,SKU004,Parka Impermeable,Parkas,2,250852,124000
2026-02-08,T007,SKU005,Short Deportivo,Shorts,2,40084,19000
2026-02-08,T007,SKU006,Polera Térmica,Poleras,4,136700,68000
2026-02-09,T007,SKU004,Parka Impermeable,Parkas,2,269022,124000
2026-02-09,T007,SKU005,Short Deportivo,Shorts,2,41412,19000
2026-02-09,T007,SKU006,Polera Térmica,Poleras,2,67134,34000
2026-02-10,T007,SKU001,Polera Manga Corta,Poleras,1,29004,14500
2026-02-10,T007,SKU005,Short Deportivo,Shorts,2,41410,19000
2026-02-10,T007,SKU006,Polera Térmica,Poleras,1,35088,17000
2026-02-10,T007,SKU007,Mochila Urbana 25L,Accesorios,1,46646,18000
2026-02-11,T007,SKU002,Jeans Slim Fit,Jeans,1,52117,24000
2026-02-11,T007,SKU005,Short Deportivo,Shorts,1,20847,9500
2026-02-11,T007,SKU006,Polera Térmica,Poleras,2,73208,34000
2026-02-12,T007,SKU003,Zapatilla Trail Runner,Calzado,1,87654,42000
2026-02-12,T007,SKU005,Short Deportivo,Shorts,2,41564,19000
2026-02-12,T007,SKU006,Polera Térmica,Poleras,2,71768,34000
2026-02-12,T007,SKU007,Mochila Urbana 25L,Accesorios,3,137994,54000
2026-02-13,T007,SKU002,Jeans Slim Fit,Jeans,3,155049,72000
2026-02-13,T007,SKU005,Short Deportivo,Shorts,4,79132,38000
2026-02-13,T007,SKU006,Polera Térmica,Poleras,4,133376,68000
2026-02-13,T007,SKU007,Mochila Urbana 25L,Accesorios,4,179788,72000
2026-02-14,T007,SKU005,Short Deportivo,Shorts,2,40454,19000
2026-02-14,T007,SKU006,Polera Térmica,Poleras,5,178675,85000
2026-02-14,T007,SKU007,Mochila Urbana 25L,Accesorios,2,91884,36000
2026-02-01,T010,SKU003,Zapatilla Trail Runner,Calzado,2,176528,84000
2026-02-01,T010,SKU005,Short Deportivo,Shorts,2,38730,19000
2026-02-01,T010,SKU007,Mochila Urbana 25L,Accesorios,4,178304,72000
2026-02-01,T010,SKU008,Gorro Bucket,Accesorios,2,29542,11000
2026-02-02,T010,SKU001,Polera Manga Corta,Poleras,2,58926,29000
2026-02-02,T010,SKU003,Zapatilla Trail Runner,Calzado,1,86252,42000
2026-02-02,T010,SKU007,Mochila Urbana 25L,Accesorios,2,87006,36000
2026-02-02,T010,SKU008,Gorro Bucket,Accesorios,1,14448,5500
2026-02-03,T010,SKU003,Zapatilla Trail Runner,Calzado,2,178558,84000
2026-02-03,T010,SKU005,Short Deportivo,Shorts,1,19483,9500
2026-02-03,T010,SKU007,Mochila Urbana 25L,Accesorios,2,87240,36000
2026-02-03,T010,SKU008,Gorro Bucket,Accesorios,1,14697,5500
2026-02-04,T010,SKU007,Mochila Urbana 25L,Accesorios,3,139821,54000
2026-02-04,T010,SKU008,Gorro Bucket,Accesorios,3,43332,16500
2026-02-05,T010,SKU003,Zapatilla Trail Runner,Calzado,2,188340,84000
2026-02-05,T010,SKU005,Short Deportivo,Shorts,3,59916,28500
2026-02-05,T010,SKU007,Mochila Urbana 25L,Accesorios,2,88864,36000
2026-02-05,T010,SKU008,Gorro Bucket,Accesorios,3,44487,16500
2026-02-06,T010,SKU001,Polera Manga Corta,Poleras,3,90798,43500
2026-02-06,T010,SKU007,Mochila Urbana 25L,Accesorios,3,134139,54000
2026-02-06,T010,SKU008,Gorro Bucket,Accesorios,2,30558,11000
2026-02-07,T010,SKU006,Polera Térmica,Poleras,4,142972,68000
2026-02-07,T010,SKU007,Mochila Urbana 25L,Accesorios,5,215365,90000
2026-02-07,T010,SKU008,Gorro Bucket,Accesorios,5,74790,27500
2026-02-08,T010,SKU007,Mochila Urbana 25L,Accesorios,3,140307,54000
2026-02-08,T010,SKU008,Gorro Bucket,Accesorios,4,60788,22000
2026-02-09,T010,SKU001,Polera Manga Corta,Poleras,2,60924,29000
2026-02-09,T010,SKU004,Parka Impermeable,Parkas,2,264592,124000
2026-02-09,T010,SKU007,Mochila Urbana 25L,Accesorios,2,89354,36000
2026-02-09,T010,SKU008,Gorro Bucket,Accesorios,1,14628,5500
2026-02-10,T010,SKU007,Mochila Urbana 25L,Accesorios,2,90776,36000
2026-02-10,T010,SKU008,Gorro Bucket,Accesorios,2,29514,11000
2026-02-11,T010,SKU001,Polera Manga Corta,Poleras,1,29738,14500
2026-02-11,T010,SKU003,Zapatilla Trail Runner,Calzado,3,260295,126000
2026-02-11,T010,SKU006,Polera Térmica,Poleras,2,69812,34000
2026-02-11,T010,SKU007,Mochila Urbana 25L,Accesorios,2,91750,36000
2026-02-11,T010,SKU008,Gorro Bucket,Accesorios,2,29380,11000
2026-02-12,T010,SKU002,Jeans Slim Fit,Jeans,3,152187,72000
2026-02-12,T010,SKU004,Parka Impermeable,Parkas,3,379983,186000
2026-02-12,T010,SKU005,Short Deportivo,Shorts,1,20109,9500
2026-02-12,T010,SKU007,Mochila Urbana 25L,Accesorios,2,89124,36000
2026-02-12,T010,SKU008,Gorro Bucket,Accesorios,1,15200,5500
2026-02-13,T010,SKU002,Jeans Slim Fit,Jeans,3,145428,72000
2026-02-13,T010,SKU006,Polera Térmica,Poleras,4,144280,68000
2026-02-13,T010,SKU007,Mochila Urbana 25L,Accesorios,2,86396,36000
2026-02-13,T010,SKU008,Gorro Bucket,Accesorios,4,58080,22000
2026-02-14,T010,SKU003,Zapatilla Trail Runner,Calzado,5,451195,210000
2026-02-14,T010,SKU007,Mochila Urbana 25L,Accesorios,4,177220,72000
2026-02-14,T010,SKU008,Gorro Bucket,Accesorios,5,75825,27500
